frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
3348,55.877,0,0,0,0,0,0
3354,55.977,0,0,0,0,0,0
3360,56.077,0,0,0,0,0,0
3366,56.178,0,0,0,0,0,0
3372,56.278,0,0,0,0,0,0
3378,56.378,0,0,0,0,0,0
3384,56.478,0,0,0,0,0,0
3390,56.578,0,0,0,0,0,0
3396,56.678,0,0,0,0,0,0
3402,56.778,0,0,0,0,0,0
3408,56.879,0,0,0,0,0,0
3414,56.979,0,0,0,0,0,0
3420,57.079,0,0,0,0,0,0
3426,57.179,0,0,0,0,0,0
3432,57.279,0,0,0,0,0,0
3438,57.379,0,0,0,0,0,0
3444,57.479,0,0,0,0,0,0
3450,57.579,0,0,0,0,0,0
3456,57.680,0,0,0,0,0,0
3462,57.780,0,0,0,0,0,0
3468,57.880,0,0,0,0,0,0
3474,57.980,0,0,0,0,0,0
3480,58.080,0,0,0,0,0,0
3486,58.180,0,0,0,0,0,0
3492,58.280,0,0,0,0,0,0
3498,58.381,0,0,0,0,0,0
3504,58.481,0,0,0,0,0,0
3510,58.581,0,0,0,0,0,0
3516,58.681,0,0,0,0,0,0
3522,58.781,0,0,0,0,0,0
3528,58.881,0,0,0,0,0,0
3534,58.981,0,0,0,0,0,0
3540,59.082,0,0,0,0,0,0
3546,59.182,0,0,0,0,0,0
3552,59.282,0,0,0,0,0,0
3558,59.382,0,0,0,0,0,0
3564,59.482,0,0,0,0,0,0
3570,59.582,0,0,0,0,0,0
3576,59.682,0,0,0,0,0,0
3582,59.783,0,0,0,0,0,0
3588,59.883,0,0,0,0,0,0
3594,59.983,0,0,0,0,0,0
3600,60.083,0,0,0,0,0,0
3606,60.183,0,0,0,0,0,0
3612,60.283,0,0,0,0,0,0
3618,60.383,0,0,0,0,0,0
3624,60.483,0,0,0,0,0,0
3630,60.584,0,0,0,0,0,0
3636,60.684,0,0,0,0,0,0
3642,60.784,0,0,0,0,0,0
3648,60.884,0,0,0,0,0,0
3654,60.984,0,0,0,0,0,0
3660,61.084,0,0,0,0,0,0
3666,61.184,0,0,0,0,0,0
3672,61.285,0,0,0,0,0,0
3678,61.385,0,0,0,0,0,0
3684,61.485,0,0,0,0,0,0
3690,61.585,0,0,0,0,0,0
3696,61.685,0,0,0,0,0,0
3702,61.785,0,0,0,0,0,0
3708,61.885,0,0,0,0,0,0
3714,61.986,0,0,0,0,0,0
3720,62.086,0,0,0,0,0,0
3726,62.186,0,0,0,0,0,0
3732,62.286,0,0,0,0,0,0
3738,62.386,0,0,0,0,0,0
3744,62.486,0,0,0,0,0,0
3750,62.586,0,0,0,0,0,0
3756,62.687,0,0,0,0,0,0
3762,62.787,0,0,0,0,0,0
3768,62.887,0,0,0,0,0,0
3774,62.987,0,0,0,0,0,0
3780,63.087,0,0,0,0,0,0
3786,63.187,0,0,0,0,0,0
3792,63.287,0,0,0,0,0,0
3798,63.387,0,0,0,0,0,0
3804,63.488,0,0,0,0,0,0
3810,63.588,0,0,0,0,0,0
3816,63.688,0,0,0,0,0,0
3822,63.788,0,0,0,0,0,0
3828,63.888,0,0,0,0,0,0
3834,63.988,0,0,0,0,0,0
3840,64.088,0,0,0,0,0,0
3846,64.189,0,0,0,0,0,0
3852,64.289,0,0,0,0,0,0
3858,64.389,0,0,0,0,0,0
3864,64.489,0,0,0,0,0,0
3870,64.589,0,0,0,0,0,0
3876,64.689,0,0,0,0,0,0
3882,64.789,0,0,0,0,0,0
3888,64.890,0,0,0,0,0,0
3894,64.990,0,0,0,0,0,0
3900,65.090,0,0,0,0,0,0
3906,65.190,0,0,0,0,0,0
3912,65.290,0,0,0,0,0,0
3918,65.390,0,0,0,0,0,0
3924,65.490,0,0,0,0,0,0
3930,65.591,0,0,0,0,0,0
3936,65.691,0,0,0,0,0,0
3942,65.791,0,0,0,0,0,0
3948,65.891,0,0,0,0,0,0
3954,65.991,0,0,0,0,0,0
3960,66.091,0,0,0,0,0,0
3966,66.191,0,0,0,0,0,0
3972,66.291,0,0,0,0,0,0
3978,66.392,0,0,0,0,0,0
3984,66.492,0,0,0,0,0,0
3990,66.592,0,0,0,0,0,0
3996,66.692,0,0,0,0,0,0
4002,66.792,0,0,0,0,0,0
4008,66.892,0,0,0,0,0,0
4014,66.992,0,0,0,0,0,0
4020,67.093,0,0,0,0,0,0
4026,67.193,1,0,0,0,0,0
4032,67.293,0,0,0,0,0,0
4038,67.393,0,0,0,0,0,0
4044,67.493,1,0,0,0,0,0
4050,67.593,0,0,0,0,0,0
4056,67.693,0,0,0,0,0,0
4062,67.794,0,0,0,0,0,0
4068,67.894,0,0,0,0,0,0
4074,67.994,0,0,0,0,0,0
4080,68.094,0,0,0,0,0,0
4086,68.194,0,0,0,0,0,0
4092,68.294,0,0,0,0,0,0
4098,68.394,0,0,0,0,0,0
4104,68.495,0,0,0,0,0,0
4110,68.595,0,0,0,0,0,0
4116,68.695,0,0,0,0,0,0
4122,68.795,0,0,0,0,0,0
4128,68.895,0,0,0,0,0,0
4134,68.995,0,0,0,0,0,0
4140,69.095,0,0,0,0,0,0
4146,69.196,0,0,0,0,0,0
4152,69.296,0,0,0,0,0,0
4158,69.396,0,0,0,0,0,0
4164,69.496,0,0,0,0,0,0
4170,69.596,0,0,0,0,0,0
4176,69.696,0,0,0,0,0,0
4182,69.796,0,0,0,0,0,0
4188,69.896,0,0,0,0,0,0
4194,69.997,0,0,0,0,0,0
4200,70.097,0,0,0,0,0,0
4206,70.197,0,0,0,0,0,0
4212,70.297,0,0,0,0,0,0
4218,70.397,0,0,0,0,0,0
